NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0008643	GO:0008643	Details ...	23	-0.5158021	-1.749512	0.0050942437	0.20096363	0.3574	1382	tags=70%, list=32%, signal=102%	
GO:0098656	GO:0098656	Details ...	26	-0.38269806	-1.3414176	0.109433025	1.0	1.0	1616	tags=58%, list=37%, signal=91%	
GO:0007154	GO:0007154	Details ...	16	-0.43177706	-1.321032	0.13102725	1.0	1.0	1372	tags=56%, list=32%, signal=82%	
GO:0072329	GO:0072329	Details ...	20	-0.3911966	-1.2799402	0.17048085	1.0	1.0	1670	tags=60%, list=38%, signal=97%	
GO:0006631	GO:0006631	Details ...	17	-0.39581105	-1.2475785	0.18936789	1.0	1.0	1728	tags=59%, list=40%, signal=97%	
GO:1901615	GO:1901615	Details ...	36	-0.31290737	-1.184246	0.22898759	1.0	1.0	646	tags=31%, list=15%, signal=36%	
GO:0032787	GO:0032787	Details ...	54	-0.2775219	-1.1374338	0.28326082	1.0	1.0	2197	tags=61%, list=51%, signal=122%	
GO:0072528	GO:0072528	Details ...	16	-0.3645344	-1.1258386	0.31588686	1.0	1.0	1313	tags=38%, list=30%, signal=54%	
GO:0019219	GO:0019219	Details ...	18	-0.35181418	-1.116711	0.32945436	1.0	1.0	945	tags=39%, list=22%, signal=50%	
GO:1905039	GO:1905039	Details ...	22	-0.31301248	-1.0524098	0.4040837	1.0	1.0	1616	tags=59%, list=37%, signal=94%	
GO:1903825	GO:1903825	Details ...	22	-0.31301248	-1.0514823	0.39316675	1.0	1.0	1616	tags=59%, list=37%, signal=94%	
GO:0009123	GO:0009123	Details ...	19	-0.31299958	-1.0204093	0.4391001	1.0	1.0	978	tags=37%, list=23%, signal=47%	
GO:0016054	GO:0016054	Details ...	49	-0.24952754	-1.009924	0.4606715	1.0	1.0	1210	tags=35%, list=28%, signal=48%	
GO:0009124	GO:0009124	Details ...	17	-0.302546	-0.94759476	0.55456454	1.0	1.0	978	tags=35%, list=23%, signal=45%	
GO:0071840	GO:0071840	Details ...	66	-0.21732287	-0.924822	0.60468256	1.0	1.0	1998	tags=50%, list=46%, signal=91%	
GO:0009066	GO:0009066	Details ...	16	-0.3012973	-0.9247166	0.5733122	1.0	1.0	1639	tags=44%, list=38%, signal=70%	
GO:0070887	GO:0070887	Details ...	17	-0.29320067	-0.92280483	0.578675	1.0	1.0	1325	tags=47%, list=31%, signal=67%	
GO:0034654	GO:0034654	Details ...	71	-0.21380354	-0.9209814	0.6091393	1.0	1.0	1278	tags=34%, list=29%, signal=47%	
GO:0050794	GO:0050794	Details ...	64	-0.21563785	-0.9152793	0.6133635	1.0	1.0	1321	tags=31%, list=30%, signal=44%	
GO:0009165	GO:0009165	Details ...	40	-0.2363906	-0.91491544	0.6055595	1.0	1.0	1278	tags=38%, list=29%, signal=53%	
GO:1901293	GO:1901293		40	-0.2363906	-0.9124735	0.60674155	1.0	1.0	1278	tags=38%, list=29%, signal=53%	
GO:0072527	GO:0072527		26	-0.25853133	-0.9008766	0.61205834	1.0	1.0	1337	tags=35%, list=31%, signal=50%	
GO:0051716	GO:0051716		50	-0.21959293	-0.894289	0.6464203	1.0	1.0	2007	tags=62%, list=46%, signal=114%	
GO:0044282	GO:0044282		79	-0.20093551	-0.8829138	0.68551785	1.0	1.0	935	tags=28%, list=22%, signal=35%	
GO:0022613	GO:0022613		15	-0.28919518	-0.8790362	0.6317757	1.0	1.0	1585	tags=47%, list=37%, signal=73%	
GO:0046395	GO:0046395		46	-0.21864764	-0.86963296	0.6824403	1.0	1.0	1210	tags=33%, list=28%, signal=45%	
GO:0031326	GO:0031326		26	-0.24223939	-0.8536707	0.68761	1.0	1.0	945	tags=27%, list=22%, signal=34%	
GO:0016053	GO:0016053		51	-0.20924771	-0.8516241	0.7055709	1.0	1.0	1757	tags=41%, list=40%, signal=68%	
GO:0031323	GO:0031323		38	-0.22151108	-0.84609103	0.702446	1.0	1.0	1070	tags=26%, list=25%, signal=35%	
GO:0009605	GO:0009605		16	-0.2724184	-0.83523285	0.698178	1.0	1.0	1372	tags=38%, list=32%, signal=55%	
GO:0016043	GO:0016043		55	-0.20044056	-0.82558113	0.7558675	1.0	1.0	1963	tags=47%, list=45%, signal=85%	
GO:0051171	GO:0051171		35	-0.2209403	-0.8248367	0.73928744	1.0	1.0	1003	tags=26%, list=23%, signal=33%	
GO:0010556	GO:0010556		24	-0.23980808	-0.82370144	0.71041405	1.0	1.0	27	tags=13%, list=1%, signal=13%	
GO:0019438	GO:0019438		94	-0.18096402	-0.81424314	0.7926697	1.0	1.0	1021	tags=26%, list=24%, signal=33%	
GO:0006066	GO:0006066		23	-0.239623	-0.8119235	0.7333673	1.0	1.0	983	tags=30%, list=23%, signal=39%	
GO:0033554	GO:0033554		34	-0.216213	-0.8094266	0.7423836	1.0	1.0	2007	tags=65%, list=46%, signal=119%	
GO:0046394	GO:0046394		50	-0.19963112	-0.80486774	0.7812939	1.0	1.0	1757	tags=40%, list=40%, signal=66%	
GO:0009161	GO:0009161		15	-0.26420376	-0.79945266	0.7443887	1.0	1.0	978	tags=33%, list=23%, signal=43%	
