NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0008643	GO:0008643	Details ...	23	-0.65464455	-2.380796	0.0	1.116279E-4	2.0E-4	1195	tags=87%, list=28%, signal=119%	
GO:0072329	GO:0072329	Details ...	20	-0.64129966	-2.2222936	3.030303E-4	5.9266505E-4	0.0022	888	tags=75%, list=20%, signal=94%	
GO:0044282	GO:0044282	Details ...	79	-0.45494264	-2.2083576	0.0	5.709352E-4	0.0032	939	tags=51%, list=22%, signal=63%	
GO:0046395	GO:0046395	Details ...	46	-0.48855665	-2.1366954	0.0	0.0011726293	0.0088	939	tags=57%, list=22%, signal=71%	
GO:0016052	GO:0016052	Details ...	41	-0.4851566	-2.0542605	5.8754405E-4	0.002873947	0.0268	737	tags=49%, list=17%, signal=58%	
GO:0016054	GO:0016054	Details ...	49	-0.4586351	-2.0203044	2.8248588E-4	0.0036266854	0.04	939	tags=53%, list=22%, signal=67%	
GO:1901575	GO:1901575	Details ...	141	-0.3683196	-2.0045292	0.0	0.0037801643	0.048	812	tags=39%, list=19%, signal=46%	
GO:0098656	GO:0098656	Details ...	26	-0.5275653	-1.9939102	0.0014920919	0.0037964026	0.055	798	tags=54%, list=18%, signal=66%	
GO:0009056	GO:0009056	Details ...	147	-0.35245243	-1.9167835	0.0	0.0075208875	0.1196	812	tags=37%, list=19%, signal=44%	
GO:0046365	GO:0046365	Details ...	15	-0.5872918	-1.8744487	0.0025550942	0.010632418	0.1846	384	tags=53%, list=9%, signal=58%	
GO:0006631	GO:0006631	Details ...	17	-0.55973566	-1.871204	0.004358655	0.010042542	0.1902	791	tags=53%, list=18%, signal=64%	
GO:1905039	GO:1905039	Details ...	22	-0.50954956	-1.8484107	0.004838222	0.01163587	0.2364	780	tags=50%, list=18%, signal=61%	
GO:0005975	GO:0005975	Details ...	83	-0.37323946	-1.8413837	0.0	0.011535013	0.252	868	tags=40%, list=20%, signal=49%	
GO:0015849	GO:0015849	Details ...	40	-0.4368821	-1.8311454	0.002300834	0.011873943	0.2746	780	tags=45%, list=18%, signal=54%	
GO:1903825	GO:1903825	Details ...	22	-0.50954956	-1.8264761	0.0036730946	0.0115196835	0.2836	780	tags=50%, list=18%, signal=61%	
GO:0044275	GO:0044275	Details ...	15	-0.5681904	-1.8162873	0.0072715776	0.011930776	0.3088	737	tags=60%, list=17%, signal=72%	
GO:0015711	GO:0015711	Details ...	43	-0.42028832	-1.8024176	0.0035077464	0.012884252	0.3454	780	tags=44%, list=18%, signal=53%	
GO:0046942	GO:0046942	Details ...	38	-0.42912316	-1.7825903	0.004923255	0.01463881	0.401	780	tags=45%, list=18%, signal=54%	
GO:0006820	GO:0006820	Details ...	52	-0.39425665	-1.7652988	0.0033812341	0.01606372	0.4468	798	tags=40%, list=18%, signal=49%	
