NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0006396	GO:0006396	Details ...	36	-0.4597701	-2.1641238	0.0	0.010500688	0.0214	1222	tags=58%, list=28%, signal=81%	
GO:0009451	GO:0009451	Details ...	28	-0.49177286	-2.1421013	9.3196647E-4	0.0067180535	0.0274	1202	tags=61%, list=28%, signal=83%	
GO:0022613	GO:0022613	Details ...	15	-0.58607906	-2.0907285	4.490346E-4	0.0073417746	0.0444	1171	tags=73%, list=27%, signal=100%	
GO:0034470	GO:0034470	Details ...	33	-0.448765	-2.0488772	9.5147477E-4	0.008187822	0.0652	1222	tags=58%, list=28%, signal=80%	
GO:0006400	GO:0006400	Details ...	19	-0.51138705	-1.975943	0.006790403	0.01211274	0.1168	1202	tags=63%, list=28%, signal=87%	
GO:0008033	GO:0008033	Details ...	24	-0.42504442	-1.7593836	0.010737629	0.04967195	0.4638	1222	tags=54%, list=28%, signal=75%	
GO:0010467	GO:0010467	Details ...	94	-0.24315491	-1.4521056	0.033549782	0.29329228	0.9852	1222	tags=39%, list=28%, signal=54%	
GO:0044085	GO:0044085	Details ...	39	-0.29875043	-1.4349812	0.058992807	0.282089	0.9892	1171	tags=49%, list=27%, signal=66%	
GO:0034660	GO:0034660	Details ...	54	-0.27384818	-1.4338117	0.046153847	0.25249776	0.9894	1222	tags=41%, list=28%, signal=56%	
GO:0043412	GO:0043412	Details ...	64	-0.25207663	-1.3715724	0.065737054	0.3181809	0.9976	1102	tags=39%, list=25%, signal=52%	
GO:0090304	GO:0090304	Details ...	111	-0.2119672	-1.3139633	0.07189543	0.39144295	1.0	1222	tags=37%, list=28%, signal=50%	
GO:0016070	GO:0016070	Details ...	80	-0.22436164	-1.280421	0.09578345	0.42574495	1.0	1222	tags=39%, list=28%, signal=53%	
GO:0071840	GO:0071840	Details ...	66	-0.23007093	-1.267852	0.11741293	0.41779554	1.0	1194	tags=41%, list=27%, signal=56%	
GO:0043170	GO:0043170	Details ...	208	-0.18008	-1.252216	0.06763849	0.41870266	1.0	846	tags=25%, list=19%, signal=30%	
GO:0010556	GO:0010556	Details ...	24	-0.2975356	-1.2188165	0.20064725	0.45735928	1.0	938	tags=42%, list=22%, signal=53%	
GO:0009889	GO:0009889	Details ...	30	-0.25849545	-1.1427639	0.26574075	0.6056099	1.0	938	tags=37%, list=22%, signal=46%	
GO:0016043	GO:0016043	Details ...	55	-0.20851216	-1.0898947	0.2995573	0.71640944	1.0	868	tags=31%, list=20%, signal=38%	
GO:2000112	GO:2000112	Details ...	20	-0.27902278	-1.0858479	0.33552942	0.688356	1.0	938	tags=40%, list=22%, signal=51%	
GO:0005976	GO:0005976	Details ...	20	-0.26523986	-1.0378374	0.39071926	0.7924797	1.0	756	tags=30%, list=17%, signal=36%	
GO:0022607	GO:0022607	Details ...	27	-0.2343397	-1.016249	0.428313	0.8179936	1.0	954	tags=37%, list=22%, signal=47%	
GO:0006399	GO:0006399		44	-0.20026478	-0.9863722	0.4718992	0.87052804	1.0	1222	tags=34%, list=28%, signal=47%	
GO:0031326	GO:0031326		26	-0.23093876	-0.9689067	0.47822058	0.88361377	1.0	938	tags=35%, list=22%, signal=44%	
GO:0006996	GO:0006996		19	-0.23563465	-0.9159427	0.5681505	1.0	1.0	954	tags=37%, list=22%, signal=47%	
GO:0006139	GO:0006139		202	-0.12884204	-0.8900396	0.7340802	1.0	1.0	369	tags=13%, list=8%, signal=14%	
GO:0009123	GO:0009123		19	-0.22752583	-0.86804205	0.6299722	1.0	1.0	368	tags=21%, list=8%, signal=23%	
GO:0009156	GO:0009156		15	-0.23720452	-0.8430313	0.6656236	1.0	1.0	292	tags=20%, list=7%, signal=21%	
GO:0010468	GO:0010468		21	-0.21350977	-0.83959407	0.68782324	1.0	1.0	1020	tags=33%, list=23%, signal=43%	
GO:0009161	GO:0009161		15	-0.23720452	-0.834497	0.66860723	1.0	1.0	292	tags=20%, list=7%, signal=21%	
GO:0044272	GO:0044272		18	-0.21172157	-0.8042248	0.721267	1.0	1.0	583	tags=22%, list=13%, signal=26%	
GO:0008643	GO:0008643		23	-0.19450444	-0.80062634	0.7615985	1.0	1.0	423	tags=17%, list=10%, signal=19%	
GO:0060255	GO:0060255		39	-0.16103803	-0.7624955	0.84027106	1.0	1.0	1020	tags=28%, list=23%, signal=37%	
GO:0044264	GO:0044264		15	-0.21140048	-0.750295	0.8049217	1.0	1.0	756	tags=27%, list=17%, signal=32%	
GO:0006259	GO:0006259		34	-0.1619867	-0.7488417	0.8572797	1.0	1.0	316	tags=15%, list=7%, signal=16%	
GO:0051246	GO:0051246		16	-0.20307387	-0.7315861	0.8176072	1.0	1.0	87	tags=13%, list=2%, signal=13%	
GO:0009892	GO:0009892		16	-0.19856241	-0.72197413	0.8291799	0.98983365	1.0	457	tags=19%, list=11%, signal=21%	
GO:0006644	GO:0006644		17	-0.18391493	-0.6791987	0.88386804	1.0	1.0	721	tags=29%, list=17%, signal=35%	
GO:0009059	GO:0009059		78	-0.11269852	-0.6424079	0.98178136	1.0	1.0	808	tags=19%, list=19%, signal=23%	
GO:1901264	GO:1901264		15	-0.17470458	-0.61836666	0.93162394	0.9908978	1.0	964	tags=27%, list=22%, signal=34%	
GO:0034645	GO:0034645		72	-0.10929723	-0.6152987	0.98914653	0.9670245	1.0	808	tags=19%, list=19%, signal=23%	
