NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0016236	GO:0016236	Details ...	40	-0.6175882	-2.2464623	0.0	3.9247866E-4	4.0E-4	2354	tags=75%, list=34%, signal=112%	
GO:0110134	GO:0110134	Details ...	17	-0.7422421	-2.1820283	0.0	6.2988343E-4	0.0012	1084	tags=76%, list=15%, signal=90%	
GO:0000423	GO:0000423	Details ...	26	-0.6338317	-2.0704095	6.7980966E-4	0.0024293638	0.0068	2244	tags=77%, list=32%, signal=113%	
GO:0031145	GO:0031145	Details ...	19	-0.6752543	-2.050409	0.0	0.0024769127	0.0092	724	tags=53%, list=10%, signal=59%	
GO:0051455	GO:0051455	Details ...	23	-0.62556154	-2.0073266	3.4411563E-4	0.0037156902	0.0174	1611	tags=57%, list=23%, signal=73%	
GO:1990748	GO:1990748	Details ...	42	-0.5417657	-1.9949127	0.0	0.00343809	0.0194	1654	tags=52%, list=24%, signal=68%	
GO:0000723	GO:0000723	Details ...	35	-0.5582777	-1.9750973	0.0	0.0038892948	0.025	2121	tags=71%, list=30%, signal=102%	
GO:0034727	GO:0034727	Details ...	15	-0.69482577	-1.9622238	0.0010657194	0.004209181	0.0308	1242	tags=67%, list=18%, signal=81%	
GO:0000724	GO:0000724	Details ...	51	-0.5105825	-1.9400625	0.0	0.005104594	0.0424	2226	tags=61%, list=32%, signal=88%	
GO:0031297	GO:0031297	Details ...	26	-0.58601475	-1.9187496	3.4258308E-4	0.0058455365	0.0542	1678	tags=50%, list=24%, signal=66%	
GO:0043328	GO:0043328	Details ...	17	-0.6508782	-1.915813	0.0	0.0056931083	0.0578	1603	tags=65%, list=23%, signal=84%	
GO:0000070	GO:0000070	Details ...	24	-0.5909956	-1.9053261	3.3863867E-4	0.005933296	0.065	2070	tags=71%, list=30%, signal=100%	
GO:0000045	GO:0000045	Details ...	21	-0.6160335	-1.9046752	0.0010507881	0.0055228015	0.0656	2244	tags=71%, list=32%, signal=105%	
GO:1904262	GO:1904262	Details ...	27	-0.5660052	-1.8802679	0.0016966406	0.0072571076	0.0922	1384	tags=48%, list=20%, signal=60%	
GO:0006281	GO:0006281	Details ...	35	-0.5268239	-1.8642164	0.0013623978	0.008336161	0.1124	1401	tags=46%, list=20%, signal=57%	
GO:0045324	GO:0045324	Details ...	29	-0.55345887	-1.8584063	0.0013499832	0.008295014	0.1194	1690	tags=55%, list=24%, signal=72%	
GO:0006887	GO:0006887	Details ...	23	-0.58591986	-1.857842	0.0020380435	0.007857324	0.12	1252	tags=43%, list=18%, signal=53%	
GO:0031146	GO:0031146	Details ...	16	-0.63903964	-1.8423464	0.0028439388	0.008635013	0.1378	1313	tags=56%, list=19%, signal=69%	
GO:0007131	GO:0007131	Details ...	29	-0.51937675	-1.7588482	0.003687563	0.019731352	0.2996	1886	tags=48%, list=27%, signal=66%	
GO:0006357	GO:0006357	Details ...	91	-0.40977773	-1.7418642	3.108486E-4	0.022282979	0.345	1694	tags=37%, list=24%, signal=49%	
