NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0006412	GO:0006412	Details ...	34	0.43247688	2.0776703	0.0	0.11925758	0.03	906	tags=44%, list=21%, signal=55%	
GO:0043039	GO:0043039	Details ...	19	0.46603668	1.8988034	0.00540054	0.1831359	0.0896	1893	tags=95%, list=44%, signal=167%	
GO:0034655	GO:0034655	Details ...	17	0.49043894	1.8948689	0.0040816325	0.12522006	0.0918	622	tags=53%, list=14%, signal=62%	
GO:0006418	GO:0006418	Details ...	19	0.46603668	1.8587576	0.0028463	0.12141145	0.1164	1893	tags=95%, list=44%, signal=167%	
GO:0006518	GO:0006518	Details ...	45	0.35566127	1.8348407	0.0013477089	0.112303436	0.1332	965	tags=44%, list=22%, signal=57%	
GO:0043043	GO:0043043	Details ...	40	0.3683586	1.827954	0.0012594458	0.09752795	0.139	906	tags=40%, list=21%, signal=50%	
GO:0006164	GO:0006164	Details ...	18	0.4465083	1.7620941	0.0114436615	0.12953162	0.2046	271	tags=39%, list=6%, signal=41%	
GO:0006399	GO:0006399	Details ...	44	0.34417194	1.7614685	0.0012578616	0.11389587	0.2056	893	tags=39%, list=21%, signal=48%	
GO:0009057	GO:0009057	Details ...	18	0.43906933	1.7246923	0.012163336	0.12736003	0.252	181	tags=28%, list=4%, signal=29%	
GO:0006400	GO:0006400	Details ...	19	0.42424616	1.6994599	0.018650088	0.13312154	0.2876	867	tags=47%, list=20%, signal=59%	
GO:0006163	GO:0006163	Details ...	28	0.37509522	1.6908364	0.01594049	0.12859133	0.3034	667	tags=36%, list=15%, signal=42%	
GO:0044270	GO:0044270	Details ...	30	0.36267602	1.6691192	0.009513742	0.13483366	0.3396	364	tags=33%, list=8%, signal=36%	
GO:0072522	GO:0072522	Details ...	20	0.40618217	1.6632406	0.017979452	0.12885109	0.3498	271	tags=35%, list=6%, signal=37%	
GO:0019439	GO:0019439	Details ...	30	0.35762298	1.6594281	0.0064794817	0.12197211	0.3552	364	tags=33%, list=8%, signal=36%	
