NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:1901566	GO:1901566	Details ...	144	0.43815345	2.792848	0.0	0.0	0.0	1054	tags=52%, list=24%, signal=66%	
GO:0008652	GO:0008652	Details ...	31	0.6109223	2.7350404	0.0	0.0	0.0	529	tags=55%, list=12%, signal=62%	
GO:0006412	GO:0006412	Details ...	34	0.59986067	2.7179205	0.0	0.0	0.0	1169	tags=74%, list=27%, signal=100%	
GO:0043039	GO:0043039	Details ...	19	0.6838938	2.6665463	0.0	0.0	0.0	877	tags=74%, list=20%, signal=92%	
GO:0006418	GO:0006418	Details ...	19	0.6838938	2.6141298	0.0	0.0	0.0	877	tags=74%, list=20%, signal=92%	
GO:1901607	GO:1901607	Details ...	28	0.60714215	2.5944033	0.0	0.0	0.0	529	tags=57%, list=12%, signal=65%	
GO:0044271	GO:0044271	Details ...	139	0.3942473	2.5017784	0.0	1.3640903E-4	4.0E-4	1054	tags=47%, list=24%, signal=61%	
GO:0006520	GO:0006520	Details ...	92	0.42110762	2.4496596	0.0	1.1935791E-4	4.0E-4	964	tags=52%, list=22%, signal=66%	
GO:0006400	GO:0006400	Details ...	19	0.63433725	2.432725	0.0	2.5271077E-4	0.001	1337	tags=84%, list=31%, signal=121%	
GO:0043038	GO:0043038	Details ...	20	0.6193183	2.4268613	0.0	2.2743971E-4	0.001	877	tags=70%, list=20%, signal=87%	
GO:0044249	GO:0044249	Details ...	227	0.3489905	2.406427	0.0	2.7913373E-4	0.0014	877	tags=39%, list=20%, signal=46%	
GO:0016070	GO:0016070	Details ...	80	0.42314237	2.402632	0.0	2.9574186E-4	0.0016	1216	tags=58%, list=28%, signal=78%	
GO:1901605	GO:1901605	Details ...	65	0.4455153	2.4004657	0.0	2.729925E-4	0.0016	529	tags=43%, list=12%, signal=48%	
GO:0006399	GO:0006399	Details ...	44	0.4849455	2.3816876	0.0	2.807252E-4	0.0018	1337	tags=73%, list=31%, signal=104%	
GO:0043043	GO:0043043	Details ...	40	0.49526638	2.350664	0.0	3.48507E-4	0.0024	1169	tags=65%, list=27%, signal=88%	
GO:0046394	GO:0046394	Details ...	50	0.46250093	2.3505912	0.0	3.2672533E-4	0.0024	529	tags=42%, list=12%, signal=47%	
GO:0010467	GO:0010467	Details ...	94	0.39979282	2.3430343	0.0	3.8229613E-4	0.003	1206	tags=54%, list=28%, signal=73%	
GO:0034660	GO:0034660	Details ...	54	0.44906852	2.3287363	0.0	4.489096E-4	0.0038	1388	tags=69%, list=32%, signal=99%	
GO:0016053	GO:0016053	Details ...	51	0.44988915	2.2909453	0.0	5.873111E-4	0.0052	529	tags=41%, list=12%, signal=46%	
GO:0009451	GO:0009451	Details ...	28	0.5296215	2.2897646	0.0	5.579455E-4	0.0052	1337	tags=71%, list=31%, signal=103%	
GO:0009058	GO:0009058		244	0.32981384	2.2837632	0.0	5.5329944E-4	0.0054	877	tags=38%, list=20%, signal=45%	
