NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0042221	GO:0042221	Details ...	45	0.43380103	2.033645	0.0	0.07420598	0.0526	1251	tags=56%, list=29%, signal=77%	
GO:0050896	GO:0050896	Details ...	90	0.35243958	1.9536537	0.0	0.08767925	0.121	1251	tags=51%, list=29%, signal=70%	
GO:0044282	GO:0044282	Details ...	79	0.35907117	1.9361749	0.0	0.0686725	0.1412	1593	tags=57%, list=37%, signal=88%	
GO:0044281	GO:0044281	Details ...	314	0.26662567	1.8201294	0.0	0.14180833	0.3454	1559	tags=48%, list=36%, signal=70%	
GO:0006163	GO:0006163	Details ...	28	0.44440463	1.8141202	0.0055846423	0.119357325	0.3584	1393	tags=64%, list=32%, signal=94%	
GO:0009150	GO:0009150	Details ...	25	0.4525409	1.8046271	0.0054869684	0.1072961	0.3796	1393	tags=64%, list=32%, signal=94%	
GO:0044248	GO:0044248	Details ...	109	0.31294033	1.7981251	6.3593005E-4	0.097040616	0.3952	1400	tags=48%, list=32%, signal=69%	
GO:0072521	GO:0072521	Details ...	36	0.39728284	1.7593764	0.0052576237	0.119763605	0.5036	1393	tags=58%, list=32%, signal=85%	
GO:0006091	GO:0006091	Details ...	22	0.4541459	1.7583209	0.008531816	0.10741138	0.506	1119	tags=59%, list=26%, signal=79%	
GO:0044283	GO:0044283	Details ...	71	0.3316914	1.7382243	0.0032970656	0.114556395	0.5648	1125	tags=46%, list=26%, signal=62%	
GO:0006164	GO:0006164	Details ...	18	0.47175062	1.709944	0.01394214	0.12931103	0.647	1393	tags=67%, list=32%, signal=98%	
GO:0043436	GO:0043436	Details ...	169	0.27270687	1.701555	0.0015257858	0.12595071	0.6704	1684	tags=51%, list=39%, signal=81%	
GO:0009056	GO:0009056	Details ...	147	0.27723372	1.6931722	9.31677E-4	0.12334375	0.6878	1507	tags=46%, list=35%, signal=68%	
GO:0006082	GO:0006082	Details ...	176	0.26669407	1.6740783	6.2305294E-4	0.13274065	0.739	1400	tags=43%, list=32%, signal=61%	
GO:0065007	GO:0065007	Details ...	101	0.29129422	1.6544284	6.3959067E-4	0.14300321	0.7882	882	tags=34%, list=20%, signal=41%	
GO:0006793	GO:0006793	Details ...	117	0.28313944	1.644417	0.0032010244	0.14384757	0.8148	1257	tags=45%, list=29%, signal=62%	
GO:0098662	GO:0098662	Details ...	18	0.4568286	1.6411759	0.027679205	0.13879819	0.8232	836	tags=56%, list=19%, signal=69%	
GO:1901135	GO:1901135	Details ...	102	0.29083902	1.637984	0.002858958	0.13390528	0.831	1400	tags=51%, list=32%, signal=73%	
