NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0002181	GO:0002181	Details ...	208	0.825286	4.285144	0.0	0.0	0.0	764	tags=76%, list=11%, signal=83%	
GO:0070125	GO:0070125	Details ...	28	0.8411069	3.0053623	0.0	0.0	0.0	887	tags=7%, list=13%, signal=8%	
GO:0006364	GO:0006364	Details ...	62	0.6842699	2.899315	0.0	0.0	0.0	1179	tags=68%, list=17%, signal=81%	
GO:1902626	GO:1902626	Details ...	23	0.83980554	2.8325624	0.0	0.0	0.0	990	tags=91%, list=14%, signal=106%	
GO:0000462	GO:0000462	Details ...	29	0.7783589	2.7963486	0.0	0.0	0.0	1265	tags=86%, list=18%, signal=105%	
GO:0002182	GO:0002182	Details ...	194	0.53429085	2.7302678	0.0	0.0	0.0	1585	tags=38%, list=23%, signal=48%	
GO:0042273	GO:0042273	Details ...	24	0.7881606	2.7053988	0.0	0.0	0.0	1222	tags=88%, list=17%, signal=106%	
GO:0002183	GO:0002183	Details ...	22	0.7990549	2.6363385	0.0	0.0	0.0	1235	tags=86%, list=18%, signal=105%	
GO:0042254	GO:0042254	Details ...	28	0.71915424	2.5237782	0.0	0.0	0.0	1737	tags=86%, list=25%, signal=114%	
GO:0000463	GO:0000463	Details ...	16	0.81926787	2.4928384	0.0	0.0	0.0	990	tags=88%, list=14%, signal=102%	
GO:0042274	GO:0042274	Details ...	21	0.75108445	2.4460106	0.0	0.0	0.0	729	tags=71%, list=10%, signal=79%	
GO:0032543	GO:0032543	Details ...	112	0.48545235	2.3042912	0.0	1.7006803E-5	2.0E-4	1637	tags=44%, list=23%, signal=56%	
GO:0030490	GO:0030490	Details ...	29	0.63916683	2.3021412	0.0	1.5698588E-5	2.0E-4	1107	tags=55%, list=16%, signal=65%	
GO:0030150	GO:0030150	Details ...	20	0.67166597	2.1684313	0.0	2.3266433E-4	0.0034	1257	tags=60%, list=18%, signal=73%	
GO:0006457	GO:0006457	Details ...	49	0.5347354	2.149426	0.0	2.6897274E-4	0.0042	936	tags=47%, list=13%, signal=54%	
GO:0045048	GO:0045048	Details ...	16	0.6797709	2.0772147	9.2893635E-4	7.516749E-4	0.013	1204	tags=69%, list=17%, signal=83%	
GO:0071038	GO:0071038	Details ...	15	0.6873207	2.0665474	0.0	8.1172277E-4	0.015	1653	tags=73%, list=24%, signal=96%	
GO:0042026	GO:0042026	Details ...	15	0.678848	2.0305345	0.0018273185	0.0011270043	0.0218	1287	tags=67%, list=18%, signal=82%	
GO:0180023	GO:0180023	Details ...	16	0.6678439	2.0249174	0.0013723696	0.0011177487	0.0228	990	tags=69%, list=14%, signal=80%	
