Systematic ID	Gene name	Product description
SPAC227.04	atg10	Atg12 conjugating enzyme Atg10
SPAC19B12.08	atg4	Atg8 deconjugator Atg4
SPAC20G8.10c	atg6	autophagy associated beclin family protein Atg6
SPBC31E1.01c	atg2	autophagy associated intermembrane lipid transfer protein Atg2
SPBC15D4.07c	atg9	autophagy associated phospholipid scramblase Atg9
SPAC4F10.07c	atg13	autophagy associated protein Atg13
SPAC25A8.02	atg14	autophagy associated protein Atg14
SPBC1711.11	atg2402	autophagy associated protein Atg24b
SPBC3B9.06c	atg3	autophagy associated protein Atg3
SPBC4B4.10c	atg5	autophagy associated protein Atg5
SPBP8B7.24c	atg8	autophagy associated protein Atg8
SPAC10F6.11c	atg17	autophagy associated protein kinase activator Atg17
SPAC7D4.04	atg11	autophagy associated protein kinase regulator Atg11
SPCC16A11.08	atg20	autophagy associated PX/BAR domain sorting nexin Atg20
SPAC6F6.12	atg24	autophagy associated PX/BAR domain sorting nexin Atg24
SPAC1783.06c	atg12	autophagy associated ubiquitin-like protein modifier Atg12
SPAC589.07c	atg1801	autophagy associated WD repeat protein (PROPPIN) Atg18a
SPAC823.16c	atg1802	autophagy associated WD repeat protein (PROPPIN) Atg18b
SPAC458.06	atg1803	autophagy associated WD repeat protein (PROPPIN) Atg18c
SPCC63.08c	atg1	autophagy serine/threonine protein kinase Atg1
SPBC6B1.05c	atg7	E1 Atg8 and Atg12 E1 activating enzyme Atg7
SPAC26A3.14c	atg44	mitofissin Atg44
SPAC14C4.01c	atg43	mitophagy receptor Atg43
SPAC29A4.17c	fun14	mitophagy receptor Fun14
SPAC1782.06c	phb1	prohibitin Phb1
SPCC1322.16	phb2	prohibitin Phb2
