Systematic ID	Gene name	Product description
SPRRNA.44		18S ribosomal RNA
SPRRNA.46		18S ribosomal RNA
SPRRNA.43		18S ribosomal RNA
SPRRNA.42		18S ribosomal RNA
SPRRNA.45		18S ribosomal RNA
SPRRNA.47		28S ribosomal RNA
SPRRNA.49		28S ribosomal RNA
SPRRNA.48		28S ribosomal RNA
SPBC685.06	rps001	40S ribosomal protein S0A (p40)
SPAPJ698.02c	rps002	40S ribosomal protein S0B
SPAC31G5.17c	rps1001	40S ribosomal protein S10
SPBP22H7.08	rps1002	40S ribosomal protein S10
SPAC144.11	rps1102	40S ribosomal protein S11
SPAC31G5.03	rps1101	40S ribosomal protein S11
SPCC962.04	rps1201	40S ribosomal protein S12
SPBC1685.02c	rps1202	40S ribosomal protein S12
SPAC6F6.07c	rps13	40S ribosomal protein S13
SPBC18H10.13	rps1402	40S ribosomal protein S14
SPAC3H5.05c	rps1401	40S ribosomal protein S14
SPCC1393.03	rps1501	40S ribosomal protein S15
SPAC1071.07c	rps1502	40S ribosomal protein S15
SPAC22A12.04c	rps2201	40S ribosomal protein S15a
SPAC5D6.01	rps2202	40S ribosomal protein S15a
SPBC18H10.14	rps1601	40S ribosomal protein S16
SPAC664.04c	rps1602	40S ribosomal protein S16
SPBC839.05c	rps1701	40S ribosomal protein S17
SPCC24B10.09	rps1702	40S ribosomal protein S17
SPCC1259.01c	rps1802	40S ribosomal protein S18
SPBC16D10.11c	rps1801	40S ribosomal protein S18
SPBC649.02	rps1902	40S ribosomal protein S19
SPBC21C3.13	rps1901	40S ribosomal protein S19
SPCC576.08c	rps2	40S ribosomal protein S2
SPCC576.09	rps20	40S ribosomal protein S20
SPBC18E5.06	rps21	40S ribosomal protein S21
SPAC23C11.02c	rps23	40S ribosomal protein S23
SPBP4H10.13	rps2302	40S ribosomal protein S23
SPAC17G6.06	rps2401	40S ribosomal protein S24
SPBC17G9.07	rps2402	40S ribosomal protein S24
SPBC3D6.15	rps2501	40S ribosomal protein S25
SPAC694.05c	rps2502	40S ribosomal protein S25
SPAC806.03c	rps2601	40S ribosomal protein S26
SPAC1805.11c	rps2602	40S ribosomal protein S26
SPBC1685.10	rps27	40S ribosomal protein S27
SPAC25G10.06	rps2801	40S ribosomal protein S28
SPCC285.15c	rps2802	40S ribosomal protein S28, Rps2802
SPBC1685.09	rps29	40S ribosomal protein S29
SPBC16G5.14c	rps3	40S ribosomal protein S3
SPBC19G7.03c	rps3002	40S ribosomal protein S30
SPAC19B12.04	rps3001	40S ribosomal protein S30
SPAC22H12.04c	rps102	40S ribosomal protein S3a
SPAC13G6.02c	rps101	40S ribosomal protein S3a
SPBC19F8.08	rps401	40S ribosomal protein S4
SPAC959.07	rps403	40S ribosomal protein S4
SPBC21B10.10	rps402	40S ribosomal protein S4
SPAC328.10c	rps502	40S ribosomal protein S5
SPAC8C9.08	rps5	40S ribosomal protein S5
SPAC13G6.07c	rps601	40S ribosomal protein S6
SPAPB1E7.12	rps602	40S ribosomal protein S6
SPAC18G6.14c	rps7	40S ribosomal protein S7
SPAC2C4.16c	rps801	40S ribosomal protein S8
SPAC521.05	rps802	40S ribosomal protein S8
SPBC29A3.12	rps902	40S ribosomal protein S9
SPAC24H6.07	rps901	40S ribosomal protein S9
SPRRNA.51		5.8S ribosomal RNA
SPRRNA.50		5.8S ribosomal RNA
SPRRNA.52		5.8S ribosomal RNA
SPRRNA.27		5S rRNA
SPRRNA.28		5S rRNA
SPRRNA.29		5S rRNA
SPRRNA.36		5S rRNA
SPRRNA.41		5S rRNA
SPRRNA.34		5S rRNA
SPRRNA.07		5S rRNA
SPRRNA.30		5S rRNA
SPRRNA.19		5S rRNA
SPRRNA.11		5S rRNA
SPRRNA.35		5S rRNA
SPRRNA.31		5S rRNA
SPRRNA.39		5S rRNA
SPRRNA.32		5S rRNA
SPRRNA.16		5S rRNA
SPRRNA.15		5S rRNA
SPRRNA.38		5S rRNA
SPRRNA.12		5S rRNA
SPRRNA.03		5S rRNA
SPRRNA.24		5S rRNA
SPRRNA.26		5S rRNA
SPRRNA.13		5S rRNA
SPRRNA.33		5S rRNA
SPRRNA.04		5S rRNA
SPRRNA.40		5S rRNA
SPRRNA.14		5S rRNA
SPRRNA.37		5S rRNA
SPRRNA.10		5S rRNA
SPRRNA.05		5S rRNA
SPRRNA.20		5S rRNA
SPRRNA.17		5S rRNA
SPRRNA.06		5S rRNA
SPRRNA.18		5S rRNA
SPRRNA.53		5S rRNA (predicted)
SPRRNA.54		5S rRNA (predicted)
SPRRNA.55		5S rRNA (predicted)
SPAC1071.08	rpp203	60S acidic ribosomal protein A2
SPBP8B7.06	rpp201	60S acidic ribosomal protein A2
SPBC23G7.15c	rpp202	60S acidic ribosomal protein P2
SPCC18.14c	rpp0	60S acidic ribosomal protein Rpp0
SPAP7G5.05	rpl1002	60S ribosomal protein L10
SPBC18E5.04	rpl1001	60S ribosomal protein L10
SPCC1183.08c	rpl101	60S ribosomal protein L10a
SPBC30D10.18c	rpl102	60S ribosomal protein L10a
SPAC26A3.07c	rpl1101	60S ribosomal protein L11
SPBC17G9.10	rpl1102	60S ribosomal protein L11
SPCC31H12.04c	rpl1202	60S ribosomal protein L12.1/L12A
SPCC16C4.13c	rpl1201	60S ribosomal protein L12.1/L12A
SPAC664.05	rpl13	60S ribosomal protein L13
SPBC839.13c	rpl1601	60S ribosomal protein L13/L16
SPBC2G2.05	rpl1603	60S ribosomal protein L13/L16
SPAC23A1.11	rpl1602	60S ribosomal protein L13/L16
SPAC1805.13	rpl14	60S ribosomal protein L14
SPCC576.11	rpl15	60S ribosomal protein L15
SPAC1783.08c	rpl1502	60S ribosomal protein L15
SPCC364.03	rpl1702	60S ribosomal protein L17
SPBC2F12.04	rpl1701	60S ribosomal protein L17
SPBC11C11.07	rpl1801	60S ribosomal protein L18
SPAPB17E12.13	rpl1802	60S ribosomal protein L18
SPCC1682.14	rpl1902	60S ribosomal protein L19
SPBC56F2.02	rpl1901	60S ribosomal protein L19
SPAC3A12.10	rpl2001	60S ribosomal protein L20A
SPAC26A3.04	rpl2002	60S ribosomal protein L20A
SPAC959.08	rpl2102	60S ribosomal protein L21
SPBC365.03c	rpl2101	60S ribosomal protein L21
SPAC11E3.15	rpl22	60S ribosomal protein L22
SPAC3G9.03	rpl2301	60S ribosomal protein L23
SPCC1322.11	rpl2302	60S ribosomal protein L23
SPAC6G9.09c	rpl2401	60S ribosomal protein L24
SPCC330.14c	rpl2402	60S ribosomal protein L24
