Entry	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (primary)	Mass	Annotation	Reviewed	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs
A5A616	MGTS_ECOLI	Small protein MgtS	mgtS yneM b4599 JW1527.1	Escherichia coli (strain K12)	31	mgtS	3509	5.0	reviewed	cellular response to magnesium starvation [GO:0010350]; magnesium ion homeostasis [GO:0010960]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; cellular response to magnesium starvation [GO:0010350]; magnesium ion homeostasis [GO:0010960]		GO:0005886; GO:0010350; GO:0010960
B1X6B7	HCHA_ECODH	Protein/nucleic acid deglycase HchA (EC 3.1.2.-) (EC 3.5.1.-) (EC 3.5.1.124) (Maillard deglycase)	hchA ECDH10B_2110	Escherichia coli (strain K12 / DH10B)	283	hchA	31190	5.0	reviewed	DNA repair [GO:0006281]; methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243]; protein repair [GO:0030091]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; glyoxalase III activity [GO:0019172]; protein deglycase activity [GO:0036524]; thiolester hydrolase activity [GO:0016790]; zinc ion binding [GO:0008270]; DNA repair [GO:0006281]; methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243]; protein repair [GO:0030091]	glyoxalase III activity [GO:0019172]; protein deglycase activity [GO:0036524]; thiolester hydrolase activity [GO:0016790]; zinc ion binding [GO:0008270]	GO:0005737; GO:0006281; GO:0008270; GO:0016790; GO:0019172; GO:0019243; GO:0030091; GO:0036524
C4ZQN7	HCHA_ECOBW	Protein/nucleic acid deglycase HchA (EC 3.1.2.-) (EC 3.5.1.-) (EC 3.5.1.124) (Maillard deglycase)	hchA BWG_1768	Escherichia coli (strain K12 / MC4100 / BW2952)	283	hchA	31190	5.0	reviewed	DNA repair [GO:0006281]; methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243]; protein repair [GO:0030091]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; glyoxalase III activity [GO:0019172]; protein deglycase activity [GO:0036524]; thiolester hydrolase activity [GO:0016790]; zinc ion binding [GO:0008270]; DNA repair [GO:0006281]; methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243]; protein repair [GO:0030091]	glyoxalase III activity [GO:0019172]; protein deglycase activity [GO:0036524]; thiolester hydrolase activity [GO:0016790]; zinc ion binding [GO:0008270]	GO:0005737; GO:0006281; GO:0008270; GO:0016790; GO:0019172; GO:0019243; GO:0030091; GO:0036524
O32583	THIS_ECOLI	Sulfur carrier protein ThiS (Thiamine biosynthesis protein ThiS)	thiS thiG1 b4407 JW3955	Escherichia coli (strain K12)	66	thiS	7311	5.0	reviewed	thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]; thiazole biosynthetic process [GO:0052837]	adenylyltransferase complex [GO:1902503]; sulfurtransferase complex [GO:1990228]	adenylyltransferase complex [GO:1902503]; sulfurtransferase complex [GO:1990228]; nucleotide binding [GO:0000166]; sulfur carrier activity [GO:0097163]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]; thiazole biosynthetic process [GO:0052837]	nucleotide binding [GO:0000166]; sulfur carrier activity [GO:0097163]	GO:0000166; GO:0009228; GO:0009229; GO:0052837; GO:0097163; GO:1902503; GO:1990228
P00350	6PGD_ECOLI	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	gnd b2029 JW2011	Escherichia coli (strain K12)	468	gnd	51481	5.0	reviewed	D-gluconate metabolic process [GO:0019521]; organic acid catabolic process [GO:0016054]; pentose-phosphate shunt [GO:0006098]; pentose-phosphate shunt, oxidative branch [GO:0009051]	cytosol [GO:0005829]	cytosol [GO:0005829]; guanosine tetraphosphate binding [GO:0097216]; identical protein binding [GO:0042802]; NADP binding [GO:0050661]; phosphogluconate dehydrogenase (decarboxylating) activity [GO:0004616]; protein homodimerization activity [GO:0042803]; D-gluconate metabolic process [GO:0019521]; organic acid catabolic process [GO:0016054]; pentose-phosphate shunt [GO:0006098]; pentose-phosphate shunt, oxidative branch [GO:0009051]	guanosine tetraphosphate binding [GO:0097216]; identical protein binding [GO:0042802]; NADP binding [GO:0050661]; phosphogluconate dehydrogenase (decarboxylating) activity [GO:0004616]; protein homodimerization activity [GO:0042803]	GO:0004616; GO:0005829; GO:0006098; GO:0009051; GO:0016054; GO:0019521; GO:0042802; GO:0042803; GO:0050661; GO:0097216
P00363	FRDA_ECOLI	Fumarate reductase flavoprotein subunit (EC 1.3.5.1) (Quinol-fumarate reductase flavoprotein subunit) (QFR flavoprotein subunit)	frdA b4154 JW4115	Escherichia coli (strain K12)	602	frdA	65972	5.0	reviewed	anaerobic electron transport chain [GO:0019645]; anaerobic respiration [GO:0009061]; bacterial-type flagellum assembly [GO:0044780]; DNA damage response [GO:0006974]; fermentation [GO:0006113]	cytosol [GO:0005829]; fumarate reductase complex [GO:0045283]; membrane [GO:0016020]; plasma membrane [GO:0005886]	cytosol [GO:0005829]; fumarate reductase complex [GO:0045283]; membrane [GO:0016020]; plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660]; succinate dehydrogenase (quinone) activity [GO:0008177]; succinate dehydrogenase activity [GO:0000104]; anaerobic electron transport chain [GO:0019645]; anaerobic respiration [GO:0009061]; bacterial-type flagellum assembly [GO:0044780]; DNA damage response [GO:0006974]; fermentation [GO:0006113]	electron transfer activity [GO:0009055]; FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660]; succinate dehydrogenase (quinone) activity [GO:0008177]; succinate dehydrogenase activity [GO:0000104]	GO:0000104; GO:0005829; GO:0005886; GO:0006113; GO:0006974; GO:0008177; GO:0009055; GO:0009061; GO:0016020; GO:0019645; GO:0044780; GO:0045283; GO:0050660; GO:0071949
P00370	DHE4_ECOLI	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)	gdhA b1761 JW1750	Escherichia coli (strain K12)	447	gdhA	48581	5.0	reviewed	glutamate biosynthetic process [GO:0006537]; glutamate metabolic process [GO:0006536]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; glutamate dehydrogenase complex [GO:1990148]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; glutamate dehydrogenase complex [GO:1990148]; glutamate dehydrogenase (NADP+) activity [GO:0004354]; guanosine tetraphosphate binding [GO:0097216]; identical protein binding [GO:0042802]; glutamate biosynthetic process [GO:0006537]; glutamate metabolic process [GO:0006536]	glutamate dehydrogenase (NADP+) activity [GO:0004354]; guanosine tetraphosphate binding [GO:0097216]; identical protein binding [GO:0042802]	GO:0004354; GO:0005737; GO:0005829; GO:0006536; GO:0006537; GO:0042802; GO:0097216; GO:1990148
P00393	NDH_ECOLI	Type II NADH:quinone oxidoreductase (EC 1.6.5.9) (Cupric reductase) (EC 1.16.1.-) (NADH dehydrogenase-2) (NADH dh II) (NDH-2) (NADH-quinone reductase) (NQR) (NADH:ubiquinone oxidoreductase) (Respiratory NADH dehydrogenase)	ndh b1109 JW1095	Escherichia coli (strain K12)	434	ndh	47359	5.0	reviewed	aerobic electron transport chain [GO:0019646]; aerobic respiration [GO:0009060]; anaerobic respiration [GO:0009061]; copper ion homeostasis [GO:0055070]	NADH dehydrogenase complex [GO:0030964]; plasma membrane [GO:0005886]	NADH dehydrogenase complex [GO:0030964]; plasma membrane [GO:0005886]; cupric reductase (NADH) activity [GO:0008823]; flavin adenine dinucleotide binding [GO:0050660]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; NADH:ubiquinone reductase (non-electrogenic) activity [GO:0050136]; aerobic electron transport chain [GO:0019646]; aerobic respiration [GO:0009060]; anaerobic respiration [GO:0009061]; copper ion homeostasis [GO:0055070]	cupric reductase (NADH) activity [GO:0008823]; flavin adenine dinucleotide binding [GO:0050660]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; NADH:ubiquinone reductase (non-electrogenic) activity [GO:0050136]	GO:0005886; GO:0008137; GO:0008823; GO:0009060; GO:0009061; GO:0019646; GO:0030964; GO:0050136; GO:0050660; GO:0055070
P00448	SODM_ECOLI	Superoxide dismutase [Mn] (EC 1.15.1.1) (MnSOD)	sodA b3908 JW3879	Escherichia coli (strain K12)	206	sodA	23097	5.0	reviewed	cellular response to selenium ion [GO:0071291]; removal of superoxide radicals [GO:0019430]; response to acidic pH [GO:0010447]; response to heat [GO:0009408]; response to oxidative stress [GO:0006979]; superoxide metabolic process [GO:0006801]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; antioxidant activity [GO:0016209]; DNA binding [GO:0003677]; manganese ion binding [GO:0030145]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; superoxide dismutase activity [GO:0004784]; cellular response to selenium ion [GO:0071291]; removal of superoxide radicals [GO:0019430]; response to acidic pH [GO:0010447]; response to heat [GO:0009408]; response to oxidative stress [GO:0006979]; superoxide metabolic process [GO:0006801]	antioxidant activity [GO:0016209]; DNA binding [GO:0003677]; manganese ion binding [GO:0030145]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; superoxide dismutase activity [GO:0004784]	GO:0003677; GO:0004784; GO:0005737; GO:0005829; GO:0006801; GO:0006979; GO:0009408; GO:0010447; GO:0016209; GO:0019430; GO:0030145; GO:0042803; GO:0046872; GO:0071291
P00452	RIR1_ECOLI	Ribonucleoside-diphosphate reductase 1 subunit alpha (EC 1.17.4.1) (Protein B1) (Ribonucleoside-diphosphate reductase 1 R1 subunit) (Ribonucleotide reductase 1)	nrdA dnaF b2234 JW2228	Escherichia coli (strain K12)	761	nrdA	85775	5.0	reviewed	2'-deoxyribonucleotide biosynthetic process [GO:0009265]; deoxyribonucleotide biosynthetic process [GO:0009263]; nucleobase-containing small molecule interconversion [GO:0015949]; ribonucleoside diphosphate metabolic process [GO:0009185]	cytosol [GO:0005829]; ribonucleoside-diphosphate reductase complex [GO:0005971]	cytosol [GO:0005829]; ribonucleoside-diphosphate reductase complex [GO:0005971]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein folding chaperone [GO:0044183]; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor [GO:0004748]; 2'-deoxyribonucleotide biosynthetic process [GO:0009265]; deoxyribonucleotide biosynthetic process [GO:0009263]; nucleobase-containing small molecule interconversion [GO:0015949]; ribonucleoside diphosphate metabolic process [GO:0009185]	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein folding chaperone [GO:0044183]; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor [GO:0004748]	GO:0004748; GO:0005524; GO:0005829; GO:0005971; GO:0009185; GO:0009263; GO:0009265; GO:0015949; GO:0042802; GO:0044183
